City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Zambezi,-13.5432,23.1047,65.17,41,75,5.57,ZM,2022-07-21 21:08:54
68,Chuy,-33.6971,-53.4616,52.0,92,87,6.02,UY,2022-07-21 21:08:54
69,Cabo San Lucas,22.8909,-109.9124,99.7,38,0,13.8,MX,2022-07-21 21:05:31
70,Hithadhoo,-0.6,73.0833,80.74,73,99,8.01,MV,2022-07-21 21:08:55
71,Lokosovo,61.1333,74.8167,52.39,73,69,7.85,RU,2022-07-21 21:08:55
72,Muros,42.7762,-9.0603,70.68,81,95,14.63,ES,2022-07-21 21:08:55
73,Atuona,-9.8,-139.0333,77.56,72,15,15.64,PF,2022-07-21 21:08:56
74,Clarence Town,-32.5833,151.7833,61.86,91,100,3.18,AU,2022-07-21 21:08:56
75,Leningradskiy,69.3833,178.4167,35.1,99,100,10.25,RU,2022-07-21 21:08:56
76,Mercedes,-34.6515,-59.4307,62.04,51,92,7.65,AR,2022-07-21 21:08:57
77,Namatanai,-3.6667,152.4333,79.72,79,76,5.7,PG,2022-07-21 21:08:57
78,Bluff,-46.6,168.3333,37.8,83,85,9.51,NZ,2022-07-21 21:08:57
79,Ocampo,21.65,-101.5,84.02,16,45,11.45,MX,2022-07-21 21:08:58
80,Lubao,14.9167,120.55,79.23,82,87,1.86,PH,2022-07-21 21:08:58
81,Faanui,-16.4833,-151.75,77.31,73,11,11.52,PF,2022-07-21 21:08:58
82,Mouzouras,35.5333,24.15,75.2,73,0,0.0,GR,2022-07-21 21:08:59
83,Butaritari,3.0707,172.7902,80.82,75,70,5.46,KI,2022-07-21 21:08:59
84,Saskylakh,71.9167,114.0833,48.45,72,100,7.76,RU,2022-07-21 21:08:59
85,Lompoc,34.6391,-120.4579,91.78,70,0,16.11,US,2022-07-21 21:08:59
86,Kaitangata,-46.2817,169.8464,43.45,89,94,2.91,NZ,2022-07-21 21:04:14
87,Mackay,-21.15,149.2,59.68,88,23,8.39,AU,2022-07-21 21:09:02
88,Sundumbili,-29.1337,31.3975,63.82,87,67,6.35,ZA,2022-07-21 21:09:02
89,Misratah,32.3754,15.0925,80.8,60,0,9.15,LY,2022-07-21 21:09:03
90,Yellowknife,62.456,-114.3525,62.64,54,97,7.83,CA,2022-07-21 21:09:03
91,Astaneh-Ye Ashrafiyeh,37.2596,49.9444,76.23,77,28,4.85,IR,2022-07-21 21:09:03
92,Provideniya,64.3833,-173.3,42.91,81,100,20.0,RU,2022-07-21 21:10:04
93,Olean,42.0776,-78.4297,84.88,53,75,8.05,US,2022-07-21 21:05:35
94,Narsaq,60.9167,-46.05,61.02,77,14,7.43,GL,2022-07-21 21:10:04
95,Inhambane,-23.865,35.3833,67.44,83,0,5.57,MZ,2022-07-21 21:10:04
96,Codrington,-38.2667,141.9667,47.46,83,73,11.83,AU,2022-07-21 21:09:07
97,Kodiak,57.79,-152.4072,54.91,88,100,9.22,US,2022-07-21 21:10:05
98,Hami,42.8,93.45,73.4,26,0,2.04,CN,2022-07-21 21:10:05
99,Madera,37.1666,-119.8343,105.51,10,3,4.0,US,2022-07-21 21:10:06
100,Moses Lake,47.1301,-119.2781,98.89,17,0,10.36,US,2022-07-21 21:09:53
101,Padang,-0.9492,100.3543,76.86,87,87,3.67,ID,2022-07-21 21:10:06
102,Bolo,13.7899,120.9817,79.05,89,99,7.54,PH,2022-07-21 21:10:06
