City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
130,Langarud,IR,77.05,broken clouds,37.197,50.1535,ستاد اسکان فرهنگیان لنگرود
131,Nagapattinam,IN,84.11,broken clouds,10.7667,79.8333,Sathya Lodge
132,Hirara,JP,91.67,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
133,Doha,QA,91.29,scattered clouds,25.2867,51.5333,Doha Marriott Hotel
134,Itoman,JP,84.22,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
135,Lagoa,PT,71.22,clear sky,39.05,-27.9833,Casa Das Faias
136,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
138,San Ignacio,BZ,75.34,clear sky,17.1561,-89.0714,Rainforest Haven Inn
139,Soyo,AO,69.13,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
140,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
141,Tautira,PF,76.93,light rain,-17.7333,-149.15,Pension Oaoa
142,Ambon,ID,80.74,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
143,Praia Da Vitoria,PT,72.75,mist,38.7333,-27.0667,Hotel Branco I
144,Mahebourg,MU,68.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
145,Bafoulabe,ML,76.17,broken clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
146,Touros,BR,73.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
147,Nichinan,JP,85.68,few clouds,31.6,131.3667,Guest House Aki
148,Filingue,NE,85.55,overcast clouds,14.3521,3.3168,
149,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
151,Zabaykalsk,RU,72.63,clear sky,49.6333,117.3167,Zheleznyy Mir
152,Rincon,US,84.85,scattered clouds,32.296,-81.2354,Days Inn Rincon
153,Garowe,SO,71.62,broken clouds,8.4054,48.4845,Curubo Hotel
156,Flinders,AU,67.37,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
157,King City,US,76.3,clear sky,36.2127,-121.126,Days Inn by Wyndham King City
158,Faanui,PF,78.69,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
159,Lukovo,MK,67.59,few clouds,41.3494,20.6047,Kukja za Vodici
161,Grand-Santi,GF,72.54,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
162,Souillac,MU,68.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
163,Havelock,US,82.96,broken clouds,34.8791,-76.9013,Sherwood Motel
164,Astrea,CO,73.18,overcast clouds,9.4983,-73.9759,Hotel y restaurante central
165,Jimenez,MX,80.82,few clouds,28.3333,-105.4,El torreon
166,Anzhero-Sudzhensk,RU,69.28,few clouds,56.081,86.0285,"Hotel ""Anzherskaya"""
168,Bambous Virieux,MU,68.25,light rain,-20.3428,57.7575,Casa Tia Villa
170,Baykit,RU,67.96,overcast clouds,61.67,96.37,
171,Leshukonskoye,RU,65.64,clear sky,64.8989,45.7622,Pryalitsa Hostel
172,Borogontsy,RU,87.57,few clouds,62.6683,131.1683,
174,Mahibadhoo,MV,82.11,overcast clouds,3.7833,72.9667,Omadhoo Inn
175,Tiksi,RU,68.67,broken clouds,71.6872,128.8694,Arktika
176,Vilyuysk,RU,85.86,broken clouds,63.7553,121.6247,Gostinitsa Viliuisk
177,Baruun-Urt,MN,71.2,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
181,Cabo San Lucas,MX,86.31,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
